name,songname,anilist,type,link
Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,Cotton Days,152072,OP,https://v.animethemes.moe/Mohunade-OP1.webm
Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,Fuwafuwa party Tsurarete happy,152072,ED,https://v.animethemes.moe/Mohunade-ED1.webm
Jaku-Chara Tomozaki-kun 2nd Stage,Easy? Hard? Shikashite Susume!,143866,OP,https://v.animethemes.moe/JakuCharaTomozakiKunS2-OP1.webm
Jaku-Chara Tomozaki-kun 2nd Stage,Easy? Hard? Shikashite Susume!,143866,OP,https://v.animethemes.moe/JakuCharaTomozakiKunS2-OP1v2.webm
Jaku-Chara Tomozaki-kun 2nd Stage,Dareka ja Nai kara,143866,ED1,https://v.animethemes.moe/JakuCharaTomozakiKunS2-ED1.webm
Jaku-Chara Tomozaki-kun 2nd Stage,Dareka ja Nai kara,143866,ED1,https://v.animethemes.moe/JakuCharaTomozakiKunS2-ED1v2.webm
Jaku-Chara Tomozaki-kun 2nd Stage,Dareka ja Nai kara,143866,ED1,https://v.animethemes.moe/JakuCharaTomozakiKunS2-ED1v3.webm
Jaku-Chara Tomozaki-kun 2nd Stage,Friend Fanfare,143866,ED2,https://v.animethemes.moe/JakuCharaTomozakiKunS2-ED2.webm
Mahou Shoujo ni Akogarete,My dream girls,162780,OP,https://v.animethemes.moe/MahouShoujoNiAkogarete-OP1.webm
Mahou Shoujo ni Akogarete,My dream girls,162780,OP,https://v.animethemes.moe/MahouShoujoNiAkogarete-OP1-NCBD1080.webm
Mahou Shoujo ni Akogarete,Toge Toge Sadistic,162780,ED1,https://v.animethemes.moe/MahouShoujoNiAkogarete-ED1.webm
Mahou Shoujo ni Akogarete,Toge Toge Sadistic,162780,ED1,https://v.animethemes.moe/MahouShoujoNiAkogarete-ED1-NCBD1080.webm
Mahou Shoujo ni Akogarete,Toge Toge Sadistic,162780,ED2,https://v.animethemes.moe/MahouShoujoNiAkogarete-ED2.webm
Mato Seihei no Slave,Yume no Ito,141821,OP,https://v.animethemes.moe/Mabotai-OP1.webm
Mato Seihei no Slave,CHA∞IN,141821,ED,https://v.animethemes.moe/Mabotai-ED1.webm
"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga.",Killer Bars,158028,OP,https://v.animethemes.moe/SokushiCheat-OP1.webm
"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga.",Haze,158028,ED,https://v.animethemes.moe/SokushiCheat-ED1.webm
