name,anilist,songname,season,type,version,episodes,link
Koori Zokusei Danshi to Cool na Douryou Joshi,151252,FROZEN MIDNIGHT,Winter,OP,,1-12,https://v.animethemes.moe/KooriZokuseiDanshiToCoolNaDouryouJoshi-OP1.webm
Koori Zokusei Danshi to Cool na Douryou Joshi,151252,Linaria,Winter,ED,,1-3,https://v.animethemes.moe/KooriZokuseiDanshiToCoolNaDouryouJoshi-ED1.webm
Koori Zokusei Danshi to Cool na Douryou Joshi,151252,Linaria,Winter,ED,2,4-5,https://v.animethemes.moe/KooriZokuseiDanshiToCoolNaDouryouJoshi-ED1v2.webm
Koori Zokusei Danshi to Cool na Douryou Joshi,151252,Linaria,Winter,ED,3,6-7,https://v.animethemes.moe/KooriZokuseiDanshiToCoolNaDouryouJoshi-ED1v3.webm
Koori Zokusei Danshi to Cool na Douryou Joshi,151252,Linaria,Winter,ED,4,8-11,https://v.animethemes.moe/KooriZokuseiDanshiToCoolNaDouryouJoshi-ED1v4.webm
Koori Zokusei Danshi to Cool na Douryou Joshi,151252,Linaria,Winter,ED,5,12,https://v.animethemes.moe/KooriZokuseiDanshiToCoolNaDouryouJoshi-ED1v5.webm
Spy Kyoushitsu,146323,Tomoshibi,Winter,OP,,3-12,https://v.animethemes.moe/SpyKyoushitsu-OP1.webm
Spy Kyoushitsu,146323,Secret Code,Winter,ED,,"2, 5, 8-11",https://v.animethemes.moe/SpyKyoushitsu-ED1.webm
Spy Kyoushitsu,146323,Fool on the secret,Winter,ED,,4,https://v.animethemes.moe/SpyKyoushitsu-ED2.webm
Spy Kyoushitsu,146323,DON'T,Winter,ED,,6,https://v.animethemes.moe/SpyKyoushitsu-ED3.webm
Spy Kyoushitsu,146323,SPARKLEscape,Winter,ED,,7,https://v.animethemes.moe/SpyKyoushitsu-ED4.webm
Spy Kyoushitsu,146323,Itsuwarinai Koufuku wo,Winter,ED,,12,https://v.animethemes.moe/SpyKyoushitsu-ED5.webm
Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,137909,Glorious World,Winter,OP,,1-12,https://v.animethemes.moe/NingenFushin-OP1.webm
Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,137909,Never Fear,Winter,ED,,1-11,https://v.animethemes.moe/NingenFushin-ED1.webm
Tensei Oujo to Tensai Reijou no Mahou Kakumei,153629,Arc-en-ciel,Winter,OP,,"2-8, 10-11",https://v.animethemes.moe/TentenKakumei-OP1.webm
Tensei Oujo to Tensai Reijou no Mahou Kakumei,153629,Only for you,Winter,ED,,2-4,https://v.animethemes.moe/TentenKakumei-ED1.webm
Tensei Oujo to Tensai Reijou no Mahou Kakumei,153629,Only for you,Winter,ED,2,6-8,https://v.animethemes.moe/TentenKakumei-ED1v2.webm
Tensei Oujo to Tensai Reijou no Mahou Kakumei,153629,Only for you,Winter,ED,3,10-11,https://v.animethemes.moe/TentenKakumei-ED1v3.webm
Bungou Stray Dogs 4th Season,141249,TRUE STORY,Winter,OP,,1-2,https://v.animethemes.moe/BungouStrayDogsS4-OP1.webm
Bungou Stray Dogs 4th Season,141249,TRUE STORY,Winter,OP,2,3,https://v.animethemes.moe/BungouStrayDogsS4-OP1v2.webm
Bungou Stray Dogs 4th Season,141249,TRUE STORY,Winter,OP,3,"4-11, 13",https://v.animethemes.moe/BungouStrayDogsS4-OP1v3.webm
Bungou Stray Dogs 4th Season,141249,Shirushi,Winter,ED,,1-13,https://v.animethemes.moe/BungouStrayDogsS4-ED1.webm
Technoroid: Overmind,141062,Invisible -one heart-,Winter,ED,,"1, 3-4, 6-9, 11-12",https://v.animethemes.moe/Technoroid-ED1.webm
Technoroid: Overmind,141062,LOVE NO HATE,Winter,OP,,2-12,https://v.animethemes.moe/Technoroid-OP1.webm
Tsurune: Tsunagari no Issha,153841,°C,Winter,OP,,"1-11, 13",https://v.animethemes.moe/TsuruneS2-OP1.webm
Tsurune: Tsunagari no Issha,153841,Hitominaka,Winter,ED,,"1-11, 13",https://v.animethemes.moe/TsuruneS2-ED1.webm
Tomo-chan wa Onnanoko!,151806,Kurae! Telepathy,Winter,OP,,"1-9, 11-13",https://v.animethemes.moe/TomoChanWaOnnanoko-OP1.webm
Tomo-chan wa Onnanoko!,151806,yurukuru＊love,Winter,ED,,"2-9, 11-13",https://v.animethemes.moe/TomoChanWaOnnanoko-ED1.webm
Tomo-chan wa Onnanoko!,151806,Jiribaki_love,Winter,ED,,10,https://v.animethemes.moe/TomoChanWaOnnanoko-ED2.webm
Revenger,155202,Down Timer,Winter,OP,,1-12,https://v.animethemes.moe/Revenger-OP1.webm
Revenger,155202,un_mute,Winter,ED,,"1-6, 8-12",https://v.animethemes.moe/Revenger-ED1.webm
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,155211,Shikou,Winter,OP,,"1-8, 10-11",https://v.animethemes.moe/DanMachiS4Part2-OP1.webm
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,155211,Kirikizu,Winter,ED,,1-11,https://v.animethemes.moe/DanMachiS4Part2-ED1.webm
Oniichan wa Oshimai!,147864,Identeitei Meltdown,Winter,OP,,1-12,https://v.animethemes.moe/Onimai-OP1.webm
Oniichan wa Oshimai!,147864,Himegoto＊Crisisters,Winter,ED,,1-11,https://v.animethemes.moe/Onimai-ED1.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,146346,Gyakkyou☆Fuwaku☆Fraction,Winter,OP,,1-4,https://v.animethemes.moe/Inuhiro-OP1.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,146346,Gyakkyou☆Fuwaku☆Fraction,Winter,OP,2,5-12,https://v.animethemes.moe/Inuhiro-OP1v2.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,146346,Let's Go My House!!!,Winter,ED,,1,https://v.animethemes.moe/Inuhiro-ED1.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,146346,Let's Go My House!!!,Winter,ED,2,12,https://v.animethemes.moe/Inuhiro-ED1v2.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,146346,Let's Go My House!!! Karen Inukai ver.,Winter,ED,,"2, 4, 8",https://v.animethemes.moe/Inuhiro-ED2.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,146346,Let's Go My House!!! Karen Inukai ver.,Winter,ED,2,10,https://v.animethemes.moe/Inuhiro-ED2v2.webm
Inu ni Nattara Suki na Hito ni Hirowareta.,146346,Let's Go My House!!! Mike Nekotani ver.,Winter,ED,,"3, 5",https://v.animethemes.moe/Inuhiro-ED3.webm
